provincia,canton,codigo_dpa,folder_provincia,folder_canton,total_archivos,pdf_total,docx_total,md_total,txt_total,archivo_plan_principal,estado_extraccion,paginas_pdf,paginas_leidas,caracteres_extraidos,estado_documental,porcentaje_concordancia,condicion_tecnica,informe_valoracion_md,amenazas_detectadas,brechas_detectadas,respuesta_detectada,fortalecimiento_detectado,monitoreo_detectado,semaforo_preliminar_acompanamiento,lectura_base,lectura_tecnica_informe
Guayas,Samborondon,0916,Guayas,Samborondón,8,4,0,0,4,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Samborondón/01_PLAN_COMPARTIDO_O_REFERENCIAS/1.0 Plan de Preparación y Respuesta ante Eventos Hidrometeorológicos y Posibles Efectos del Fenómeno El Niño 2026-2027 (ENOS) -signed-2.pdf,texto_extraible,50,50,75398,Plan localizado,,Extracción inicial desde PDF/DOCX; requiere revisión técnica,,Desbordamiento fluvial; Inundación; Afectación vial; Erosión hídrica / socavación; Marejada / zona costera,Coordinación COE/MTT; Drenaje / alcantarillado insuficiente; Monitoreo y evidencias; Maquinaria / recursos operativos; Alojamientos temporales por validar,"Activación COE/UGR; Limpieza y mantenimiento preventivo; Recursos y logística; Alojamientos temporales; Evacuación, rutas y puntos seguros",Fortalecimiento UGR/COE; Protocolos / procedimientos; Simulacros / ejercicios; Capacitación,Alertas / vigilancia; Reportes; Indicadores; Seguimiento mensual,PENDIENTE,"Extracción automática detectó Desbordamiento fluvial, Inundación, Afectación vial; brechas: Coordinación COE/MTT, Drenaje / alcantarillado insuficiente, Monitoreo y evidencias.",
Guayas,Santa Lucia,0918,Guayas,Santa Lucía,8,4,0,0,4,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Santa Lucía/01_PLAN_COMPARTIDO_O_REFERENCIAS/PLAN DE ACCIÓN TERRITORIAL DEL CANTÓN SANTA LUCÍA PARA LA ÉPOCA LLUVIOSA Y ENOS 2026-2027-signed (1).pdf,texto_extraible,24,24,55175,Plan localizado,,Extracción inicial desde PDF/DOCX; requiere revisión técnica,,Desbordamiento fluvial; Afectación vial; Inundación; Erosión hídrica / socavación; Déficit hídrico / sequía,Monitoreo y evidencias; Coordinación COE/MTT; Maquinaria / recursos operativos; Drenaje / alcantarillado insuficiente; Alojamientos temporales por validar,"Activación COE/UGR; Recursos y logística; Limpieza y mantenimiento preventivo; Alojamientos temporales; Evacuación, rutas y puntos seguros",Fortalecimiento UGR/COE; Simulacros / ejercicios; Capacitación; Protocolos / procedimientos; Actualización del plan,Alertas / vigilancia; Reportes; Seguimiento mensual; Indicadores; Evidencias,PENDIENTE,"Extracción automática detectó Desbordamiento fluvial, Afectación vial, Inundación; brechas: Monitoreo y evidencias, Coordinación COE/MTT, Maquinaria / recursos operativos.",
Guayas,Salitre,0919,Guayas,Salitre,4,1,0,1,2,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Salitre/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan Cantonal de Preparación y Respuesta ante el Fenómeno ENOS-signed.pdf,texto_extraible,11,11,10120,Registros base localizados; sin plan final localizado,55,Requiere consolidación documental,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Salitre/02_INFORME_VALORACION/INFORME_VALORACION_SALITRE.md,Desbordamiento fluvial; Inundación; Afectación vial; Erosión hídrica / socavación; Movimiento en masa / deslizamiento,Coordinación COE/MTT; Monitoreo y evidencias; Drenaje / alcantarillado insuficiente; Alojamientos temporales por validar; Maquinaria / recursos operativos,"Activación COE/UGR; Alojamientos temporales; Recursos y logística; Evacuación, rutas y puntos seguros; Limpieza y mantenimiento preventivo",Fortalecimiento UGR/COE; Capacitación; Simulacros / ejercicios; Actualización del plan,Alertas / vigilancia; Seguimiento mensual; Indicadores; Evidencias; Reportes,ROJO,"Existe registro institucional, pero no plan final localizado.","El porcentaje asignado corresponde a una valoración técnica preliminar, no a aprobación formal. Evalúa la presencia y coherencia de estructura, identificación de amenazas, acciones, responsables, recursos, COE, comunicación, verificables y seguimiento mensual."
Guayas,San Jacinto De Yaguachi,0920,Guayas,Yaguachi,5,1,0,0,4,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Yaguachi/01_PLAN_COMPARTIDO_O_REFERENCIAS/PLAN DE RESPUESTA INVERNAL CANTONAL 2026-signed-signed SAN JACINTO DE YAGUACHI (1).pdf,texto_extraible,47,47,58938,Plan localizado,,Extracción inicial desde PDF/DOCX; requiere revisión técnica,,Desbordamiento fluvial; Afectación vial; Inundación; Erosión hídrica / socavación; Movimiento en masa / deslizamiento,Coordinación COE/MTT; Monitoreo y evidencias; Alojamientos temporales por validar; Maquinaria / recursos operativos; Drenaje / alcantarillado insuficiente,"Activación COE/UGR; Alojamientos temporales; Recursos y logística; Evacuación, rutas y puntos seguros; Limpieza y mantenimiento preventivo",Fortalecimiento UGR/COE; Simulacros / ejercicios; Capacitación; Protocolos / procedimientos; Actualización del plan,Alertas / vigilancia; Reportes; Evidencias,PENDIENTE,"Extracción automática detectó Desbordamiento fluvial, Afectación vial, Inundación; brechas: Coordinación COE/MTT, Monitoreo y evidencias, Alojamientos temporales por validar.",
Guayas,Playas,0921,Guayas,Playas,5,1,0,2,2,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Playas/01_PLAN_COMPARTIDO_O_REFERENCIAS/Informe_revision_porcentaje_Playas_ENOS_2026 (4).pdf,texto_extraible,3,3,6023,Registros base localizados; sin plan final localizado,50,Borrador/base en etapa inicial,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Playas/02_INFORME_VALORACION/INFORME_VALORACION_PLAYAS.md,Desbordamiento fluvial; Afectación vial; Inundación; Déficit hídrico / sequía,Monitoreo y evidencias; Coordinación COE/MTT; Alojamientos temporales por validar; Rutas y puntos seguros por validar; Maquinaria / recursos operativos,"Alojamientos temporales; Activación COE/UGR; Evacuación, rutas y puntos seguros; Recursos y logística; Limpieza y mantenimiento preventivo",Fortalecimiento UGR/COE; Protocolos / procedimientos,Seguimiento mensual; Evidencias; Indicadores; Alertas / vigilancia; Reportes,ROJO,"Se localiza registro base del caso, pero no documento final del plan.","El porcentaje asignado corresponde a una valoración técnica preliminar, no a aprobación formal. Evalúa la presencia y coherencia de estructura, identificación de amenazas, acciones, responsables, recursos, COE, comunicación, verificables y seguimiento mensual."
Guayas,Simón Bolívar,0922,Guayas,Simón Bolívar,8,4,0,0,4,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Simón Bolívar/01_PLAN_COMPARTIDO_O_REFERENCIAS/PLAN DE ACCION SIMON BOLIVAR 2026-signed-signed-signed-1.pdf,texto_extraible,61,50,73099,Plan localizado,,Extracción inicial desde PDF/DOCX; requiere revisión técnica,,Desbordamiento fluvial; Afectación vial; Inundación; Movimiento en masa / deslizamiento; Erosión hídrica / socavación,Monitoreo y evidencias; Coordinación COE/MTT; Drenaje / alcantarillado insuficiente; Alojamientos temporales por validar; Maquinaria / recursos operativos,"Activación COE/UGR; Limpieza y mantenimiento preventivo; Alojamientos temporales; Recursos y logística; Evacuación, rutas y puntos seguros",Fortalecimiento UGR/COE; Capacitación; Protocolos / procedimientos; Simulacros / ejercicios; Actualización del plan,Reportes; Evidencias; Alertas / vigilancia; Seguimiento mensual; Indicadores,PENDIENTE,"Extracción automática detectó Desbordamiento fluvial, Afectación vial, Inundación; brechas: Monitoreo y evidencias, Coordinación COE/MTT, Drenaje / alcantarillado insuficiente.",
Guayas,Crnel. Marcelino Maridueña,0923,Guayas,Marcelino Maridueña,9,4,1,0,4,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Marcelino Maridueña/01_PLAN_COMPARTIDO_O_REFERENCIAS/PLAN DE ACCIÓN FRENTE A EVENTO EL NIÑO 2026-2027-signed (1)-signed-signed (1)-signed-signed.pdf,texto_extraible,30,30,40902,Plan localizado,,Extracción inicial desde PDF/DOCX; requiere revisión técnica,,Desbordamiento fluvial; Inundación; Afectación vial; Movimiento en masa / deslizamiento,Coordinación COE/MTT; Maquinaria / recursos operativos; Monitoreo y evidencias; Drenaje / alcantarillado insuficiente; Rutas y puntos seguros por validar,"Activación COE/UGR; Recursos y logística; Evacuación, rutas y puntos seguros; Alojamientos temporales; Limpieza y mantenimiento preventivo",Fortalecimiento UGR/COE; Protocolos / procedimientos; Actualización del plan; Capacitación,Alertas / vigilancia; Reportes,PENDIENTE,"Extracción automática detectó Desbordamiento fluvial, Inundación, Afectación vial; brechas: Coordinación COE/MTT, Maquinaria / recursos operativos, Monitoreo y evidencias.",
Guayas,Lomas De Sargentillo,0924,Guayas,Lomas de Sargentillo,4,1,0,0,3,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Lomas de Sargentillo/01_PLAN_COMPARTIDO_O_REFERENCIAS/GESTION DE RIESGO20260622_13340049.pdf,sin_texto_posible_escaneo,41,41,0,Plan localizado,,Extracción inicial desde PDF/DOCX; requiere revisión técnica,,,,,,,PENDIENTE,Pendiente de lectura técnica: el documento requiere extracción o validación manual.,
Guayas,Nobol,0925,Guayas,Nobol,7,3,0,0,4,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Nobol/01_PLAN_COMPARTIDO_O_REFERENCIAS/PLAN DE ACCION ENOS 2026 - 2027-signed-signed-signed-signed.pdf,texto_extraible,59,50,90821,Plan localizado,,Extracción inicial desde PDF/DOCX; requiere revisión técnica,,Desbordamiento fluvial; Afectación vial; Inundación; Movimiento en masa / deslizamiento; Erosión hídrica / socavación,Coordinación COE/MTT; Monitoreo y evidencias; Drenaje / alcantarillado insuficiente; Rutas y puntos seguros por validar; Alojamientos temporales por validar,"Activación COE/UGR; Evacuación, rutas y puntos seguros; Limpieza y mantenimiento preventivo; Alojamientos temporales; Recursos y logística",Fortalecimiento UGR/COE; Simulacros / ejercicios; Protocolos / procedimientos; Actualización del plan; Capacitación,Alertas / vigilancia; Reportes; Evidencias; Seguimiento mensual; Indicadores,PENDIENTE,"Extracción automática detectó Desbordamiento fluvial, Afectación vial, Inundación; brechas: Coordinación COE/MTT, Monitoreo y evidencias, Drenaje / alcantarillado insuficiente.",
Guayas,Gnral. Antonio Elizalde,0927,Guayas,General Antonio Elizalde (Bucay),5,1,0,0,4,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/General Antonio Elizalde (Bucay)/01_PLAN_COMPARTIDO_O_REFERENCIAS/informe_tecnico_bucay_enos_apa7_final-signed-1.pdf,texto_extraible,24,24,45001,Plan localizado,,Extracción inicial desde PDF/DOCX; requiere revisión técnica,,Movimiento en masa / deslizamiento; Desbordamiento fluvial; Afectación vial; Erosión hídrica / socavación; Inundación,Monitoreo y evidencias; Drenaje / alcantarillado insuficiente; Rutas y puntos seguros por validar; Coordinación COE/MTT; Alojamientos temporales por validar,"Evacuación, rutas y puntos seguros; Limpieza y mantenimiento preventivo; Activación COE/UGR; Alojamientos temporales; Recursos y logística",Fortalecimiento UGR/COE; Protocolos / procedimientos; Actualización del plan; Capacitación; Simulacros / ejercicios,Reportes; Evidencias; Alertas / vigilancia,PENDIENTE,"Extracción automática detectó Movimiento en masa / deslizamiento, Desbordamiento fluvial, Afectación vial; brechas: Monitoreo y evidencias, Drenaje / alcantarillado insuficiente, Rutas y puntos seguros por validar.",
Guayas,Isidro Ayora,0928,Guayas,Isidro Ayora,10,6,0,0,4,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Isidro Ayora/01_PLAN_COMPARTIDO_O_REFERENCIAS/PLAN DE CONTINGENCIA20260623.pdf,texto_extraible,55,50,76651,Plan localizado,,Extracción inicial desde PDF/DOCX; requiere revisión técnica,,Desbordamiento fluvial; Afectación vial; Inundación; Movimiento en masa / deslizamiento,Coordinación COE/MTT; Drenaje / alcantarillado insuficiente; Alojamientos temporales por validar; Maquinaria / recursos operativos; Monitoreo y evidencias,"Limpieza y mantenimiento preventivo; Activación COE/UGR; Alojamientos temporales; Recursos y logística; Evacuación, rutas y puntos seguros",Fortalecimiento UGR/COE; Simulacros / ejercicios; Protocolos / procedimientos,Reportes; Indicadores; Alertas / vigilancia,PENDIENTE,"Extracción automática detectó Desbordamiento fluvial, Afectación vial, Inundación; brechas: Coordinación COE/MTT, Drenaje / alcantarillado insuficiente, Alojamientos temporales por validar.",
Los Ríos,Babahoyo,1201,Los Ríos,Babahoyo,5,2,0,0,3,PAQUETE_ENOS_ZONA5_2026_2027/Los Ríos/Babahoyo/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan de accion cantonal FENOMENO_DEL_NIÑO 2026 (1).pdf,texto_extraible,34,34,47873,Plan localizado,,Extracción inicial desde PDF/DOCX; requiere revisión técnica,,Desbordamiento fluvial; Afectación vial; Inundación; Erosión hídrica / socavación; Movimiento en masa / deslizamiento,Monitoreo y evidencias; Coordinación COE/MTT; Drenaje / alcantarillado insuficiente; Rutas y puntos seguros por validar; Alojamientos temporales por validar,"Activación COE/UGR; Evacuación, rutas y puntos seguros; Limpieza y mantenimiento preventivo; Alojamientos temporales; Recursos y logística",Fortalecimiento UGR/COE; Actualización del plan; Capacitación; Simulacros / ejercicios; Protocolos / procedimientos,Alertas / vigilancia; Reportes; Seguimiento mensual; Evidencias; Indicadores,PENDIENTE,"Extracción automática detectó Desbordamiento fluvial, Afectación vial, Inundación; brechas: Monitoreo y evidencias, Coordinación COE/MTT, Drenaje / alcantarillado insuficiente.",
Los Ríos,Baba,1202,Los Ríos,Baba,5,1,0,0,4,PAQUETE_ENOS_ZONA5_2026_2027/Los Ríos/Baba/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan de acción territorial ante el evento del niño 2026-signed.pdf,texto_extraible,36,36,46515,Plan localizado,,Extracción inicial desde PDF/DOCX; requiere revisión técnica,,Desbordamiento fluvial; Afectación vial; Inundación; Erosión hídrica / socavación; Déficit hídrico / sequía,Coordinación COE/MTT; Drenaje / alcantarillado insuficiente; Monitoreo y evidencias; Alojamientos temporales por validar; Rutas y puntos seguros por validar,"Activación COE/UGR; Limpieza y mantenimiento preventivo; Evacuación, rutas y puntos seguros; Recursos y logística; Alojamientos temporales",Fortalecimiento UGR/COE; Actualización del plan; Capacitación; Simulacros / ejercicios,Reportes; Alertas / vigilancia; Evidencias; Seguimiento mensual; Indicadores,PENDIENTE,"Extracción automática detectó Desbordamiento fluvial, Afectación vial, Inundación; brechas: Coordinación COE/MTT, Drenaje / alcantarillado insuficiente, Monitoreo y evidencias.",
Los Ríos,Montalvo,1203,Los Ríos,Montalvo,10,6,0,2,2,PAQUETE_ENOS_ZONA5_2026_2027/Los Ríos/Montalvo/01_PLAN_COMPARTIDO_O_REFERENCIAS/plan enos 2026 FIRMADO-signed-signed.pdf,texto_extraible,38,38,61684,Plan localizado,83,Alta concordancia; requiere control de anexos y seguimiento,PAQUETE_ENOS_ZONA5_2026_2027/Los Ríos/Montalvo/02_INFORME_VALORACION/INFORME_VALORACION_MONTALVO.md,Desbordamiento fluvial; Afectación vial; Erosión hídrica / socavación; Inundación; Movimiento en masa / deslizamiento,Coordinación COE/MTT; Maquinaria / recursos operativos; Monitoreo y evidencias; Drenaje / alcantarillado insuficiente; Alojamientos temporales por validar,"Limpieza y mantenimiento preventivo; Activación COE/UGR; Recursos y logística; Alojamientos temporales; Evacuación, rutas y puntos seguros",Fortalecimiento UGR/COE; Actualización del plan; Capacitación; Protocolos / procedimientos,Evidencias; Reportes; Alertas / vigilancia; Seguimiento mensual; Indicadores,VERDE,"El plan identifica inundaciones, desbordamientos, erosión de riberas, afectaciones a infraestructura vial, déficit hídrico y mecanismos de monitoreo.","El porcentaje asignado corresponde a una valoración técnica preliminar, no a aprobación formal. Evalúa la presencia y coherencia de estructura, identificación de amenazas, acciones, responsables, recursos, COE, comunicación, verificables y seguimiento mensual."
Los Ríos,Puebloviejo,1204,Los Ríos,Puebloviejo,7,4,0,1,2,PAQUETE_ENOS_ZONA5_2026_2027/Los Ríos/Puebloviejo/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan de Acción Cantonal Ante El Niño 2026–2027 FINAL-1.pdf,texto_extraible,39,39,20443,Plan localizado,78,Concordancia media-alta; requiere validación de anexos y verificables,PAQUETE_ENOS_ZONA5_2026_2027/Los Ríos/Puebloviejo/02_INFORME_VALORACION/INFORME_VALORACION_PUEBLOVIEJO.md,Desbordamiento fluvial; Inundación; Afectación vial; Erosión hídrica / socavación,Coordinación COE/MTT; Monitoreo y evidencias; Maquinaria / recursos operativos; Drenaje / alcantarillado insuficiente; Alojamientos temporales por validar,"Activación COE/UGR; Recursos y logística; Limpieza y mantenimiento preventivo; Alojamientos temporales; Evacuación, rutas y puntos seguros",Fortalecimiento UGR/COE; Actualización del plan; Capacitación; Simulacros / ejercicios,Reportes; Seguimiento mensual; Alertas / vigilancia; Evidencias; Indicadores,VERDE,"El plan incorpora datos generales, introducción, objetivos, caracterización territorial, amenazas prioritarias y activación del COE Cantonal.","El porcentaje asignado corresponde a una valoración técnica preliminar, no a aprobación formal. Evalúa la presencia y coherencia de estructura, identificación de amenazas, acciones, responsables, recursos, COE, comunicación, verificables y seguimiento mensual."
Los Ríos,Quevedo,1205,Los Ríos,Quevedo,5,1,0,0,4,PAQUETE_ENOS_ZONA5_2026_2027/Los Ríos/Quevedo/01_PLAN_COMPARTIDO_O_REFERENCIAS/ENOS 2027 QUEVEDO FINAL.pdf,texto_extraible,46,46,58026,Plan localizado,,Extracción inicial desde PDF/DOCX; requiere revisión técnica,,Desbordamiento fluvial; Afectación vial; Inundación; Movimiento en masa / deslizamiento; Erosión hídrica / socavación,Coordinación COE/MTT; Maquinaria / recursos operativos; Monitoreo y evidencias; Drenaje / alcantarillado insuficiente; Alojamientos temporales por validar,"Recursos y logística; Activación COE/UGR; Evacuación, rutas y puntos seguros; Alojamientos temporales; Limpieza y mantenimiento preventivo",Fortalecimiento UGR/COE; Actualización del plan; Simulacros / ejercicios; Protocolos / procedimientos; Capacitación,Reportes; Alertas / vigilancia; Indicadores; Seguimiento mensual,PENDIENTE,"Extracción automática detectó Desbordamiento fluvial, Afectación vial, Inundación; brechas: Coordinación COE/MTT, Maquinaria / recursos operativos, Monitoreo y evidencias.",
Los Ríos,Urdaneta,1206,Los Ríos,Urdaneta,6,2,0,2,2,PAQUETE_ENOS_ZONA5_2026_2027/Los Ríos/Urdaneta/01_PLAN_COMPARTIDO_O_REFERENCIAS/PLAN DE ACCIÓN TERRITORIAL ANTE EL EVENTO EL NIÑO 2026.-signed-signed-signed.pdf,texto_extraible,25,25,37563,Registros F01/F04 localizados; sin plan final localizado,60,Base parcial para plan,PAQUETE_ENOS_ZONA5_2026_2027/Los Ríos/Urdaneta/02_INFORME_VALORACION/INFORME_VALORACION_URDANETA.md,Desbordamiento fluvial; Afectación vial; Inundación; Erosión hídrica / socavación; Movimiento en masa / deslizamiento,Coordinación COE/MTT; Monitoreo y evidencias; Maquinaria / recursos operativos; Rutas y puntos seguros por validar; Drenaje / alcantarillado insuficiente,"Activación COE/UGR; Recursos y logística; Evacuación, rutas y puntos seguros; Alojamientos temporales; Limpieza y mantenimiento preventivo",Fortalecimiento UGR/COE; Actualización del plan; Protocolos / procedimientos,Reportes; Alertas / vigilancia; Seguimiento mensual; Evidencias; Indicadores,AMARILLO,Se registran puntos críticos con necesidad de mitigación e intervención de Prefectura.,"El porcentaje asignado corresponde a una valoración técnica preliminar, no a aprobación formal. Evalúa la presencia y coherencia de estructura, identificación de amenazas, acciones, responsables, recursos, COE, comunicación, verificables y seguimiento mensual."
Los Ríos,Ventanas,1207,Los Ríos,Ventanas,5,1,0,0,4,PAQUETE_ENOS_ZONA5_2026_2027/Los Ríos/Ventanas/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan_ENOS_Cantón_Ventanas-signed-signed.pdf,texto_extraible,3,3,3857,Plan localizado,,Extracción inicial desde PDF/DOCX; requiere revisión técnica,,Desbordamiento fluvial; Inundación; Afectación vial,Monitoreo y evidencias; Maquinaria / recursos operativos; Coordinación COE/MTT; Drenaje / alcantarillado insuficiente; Alojamientos temporales por validar,Activación COE/UGR; Recursos y logística; Limpieza y mantenimiento preventivo; Alojamientos temporales,Fortalecimiento UGR/COE; Actualización del plan,Alertas / vigilancia; Evidencias,PENDIENTE,"Extracción automática detectó Desbordamiento fluvial, Inundación, Afectación vial; brechas: Monitoreo y evidencias, Maquinaria / recursos operativos, Coordinación COE/MTT.",
Los Ríos,Vinces,1208,Los Ríos,Vinces,6,2,0,0,4,PAQUETE_ENOS_ZONA5_2026_2027/Los Ríos/Vinces/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan de Acción ante el evento El Niño 2026 - 2027.pdf,texto_extraible,30,30,32379,Plan localizado,,Extracción inicial desde PDF/DOCX; requiere revisión técnica,,Desbordamiento fluvial; Afectación vial; Inundación,Coordinación COE/MTT; Monitoreo y evidencias; Maquinaria / recursos operativos; Alojamientos temporales por validar; Drenaje / alcantarillado insuficiente,"Activación COE/UGR; Alojamientos temporales; Recursos y logística; Evacuación, rutas y puntos seguros; Limpieza y mantenimiento preventivo",Fortalecimiento UGR/COE; Protocolos / procedimientos,Reportes; Alertas / vigilancia; Evidencias; Seguimiento mensual,PENDIENTE,"Extracción automática detectó Desbordamiento fluvial, Afectación vial, Inundación; brechas: Coordinación COE/MTT, Monitoreo y evidencias, Maquinaria / recursos operativos.",
Los Ríos,Palenque,1209,Los Ríos,Palenque,7,3,0,2,2,PAQUETE_ENOS_ZONA5_2026_2027/Los Ríos/Palenque/01_PLAN_COMPARTIDO_O_REFERENCIAS/PLAN_DE_ACCION_TERRITORIAL_DEL_GADM_PALENQUE_EL_NINO_20262027_signed-signed-signed-1.pdf,texto_extraible,43,43,33735,Plan localizado,76,Borrador con estructura útil; requiere validación final,PAQUETE_ENOS_ZONA5_2026_2027/Los Ríos/Palenque/02_INFORME_VALORACION/INFORME_VALORACION_PALENQUE.md,Desbordamiento fluvial; Inundación; Afectación vial,Coordinación COE/MTT; Monitoreo y evidencias; Maquinaria / recursos operativos; Alojamientos temporales por validar; Drenaje / alcantarillado insuficiente,"Activación COE/UGR; Recursos y logística; Alojamientos temporales; Limpieza y mantenimiento preventivo; Evacuación, rutas y puntos seguros",Fortalecimiento UGR/COE; Capacitación; Simulacros / ejercicios; Protocolos / procedimientos; Actualización del plan,Reportes; Evidencias; Alertas / vigilancia; Seguimiento mensual; Indicadores,VERDE,"El plan registra datos generales, responsables, firmas, anexos de cartografía de amenazas, sectores priorizados, red vial expuesta, río Palenque e infraestructura crítica.","El porcentaje asignado corresponde a una valoración técnica preliminar, no a aprobación formal. Evalúa la presencia y coherencia de estructura, identificación de amenazas, acciones, responsables, recursos, COE, comunicación, verificables y seguimiento mensual."
Los Ríos,Buena Fe,1210,Los Ríos,Buena Fe,5,1,1,1,2,PAQUETE_ENOS_ZONA5_2026_2027/Los Ríos/Buena Fe/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan Acciones FENOMENO DEL NIÑO 2026-2027 Cantón Buena Fe-signed-signed-signed-signed-signed.pdf,texto_extraible,97,50,83798,Plan y revisión localizados,62,Parcial; no apto para remisión formal sin completar faltantes,PAQUETE_ENOS_ZONA5_2026_2027/Los Ríos/Buena Fe/02_INFORME_VALORACION/INFORME_VALORACION_BUENA FE.md,Desbordamiento fluvial; Afectación vial; Inundación; Movimiento en masa / deslizamiento; Erosión hídrica / socavación,Coordinación COE/MTT; Monitoreo y evidencias; Maquinaria / recursos operativos; Drenaje / alcantarillado insuficiente; Alojamientos temporales por validar,"Activación COE/UGR; Recursos y logística; Alojamientos temporales; Limpieza y mantenimiento preventivo; Evacuación, rutas y puntos seguros",Fortalecimiento UGR/COE; Protocolos / procedimientos; Capacitación; Simulacros / ejercicios; Actualización del plan,Alertas / vigilancia; Reportes; Seguimiento mensual; Evidencias; Indicadores,AMARILLO,"El propio documento clasifica la información como insuficiente para versión definitiva por ausencia de amenaza observada en F01, coordenadas, exposición, priorización, F07 y respaldos firmados.","El porcentaje asignado corresponde a una valoración técnica preliminar, no a aprobación formal. Evalúa la presencia y coherencia de estructura, identificación de amenazas, acciones, responsables, recursos, COE, comunicación, verificables y seguimiento mensual."
Los Ríos,Valencia,1211,Los Ríos,Valencia,4,2,0,0,2,PAQUETE_ENOS_ZONA5_2026_2027/Los Ríos/Valencia/01_PLAN_COMPARTIDO_O_REFERENCIAS/INFORME TÉCNICO APROBADO (1)-signed-signed.pdf,texto_extraible,45,45,33413,Plan localizado,,Extracción inicial desde PDF/DOCX; requiere revisión técnica,,Desbordamiento fluvial; Afectación vial; Inundación; Erosión hídrica / socavación; Movimiento en masa / deslizamiento,Drenaje / alcantarillado insuficiente; Monitoreo y evidencias; Maquinaria / recursos operativos; Coordinación COE/MTT; Alojamientos temporales por validar,"Limpieza y mantenimiento preventivo; Activación COE/UGR; Recursos y logística; Alojamientos temporales; Evacuación, rutas y puntos seguros",Fortalecimiento UGR/COE; Capacitación; Actualización del plan; Simulacros / ejercicios,Alertas / vigilancia; Reportes; Evidencias; Indicadores,PENDIENTE,"Extracción automática detectó Desbordamiento fluvial, Afectación vial, Inundación; brechas: Drenaje / alcantarillado insuficiente, Monitoreo y evidencias, Maquinaria / recursos operativos.",
Los Ríos,Mocache,1212,Los Ríos,Mocache,4,1,0,0,3,PAQUETE_ENOS_ZONA5_2026_2027/Los Ríos/Mocache/01_PLAN_COMPARTIDO_O_REFERENCIAS/PLAN DE ACCION Y CONTINGENCIA ENOS - MOCACHE-2026-signed-signed (1).pdf,texto_extraible,54,50,78221,Plan localizado,,Extracción inicial desde PDF/DOCX; requiere revisión técnica,,Desbordamiento fluvial; Inundación; Afectación vial; Movimiento en masa / deslizamiento; Erosión hídrica / socavación,Coordinación COE/MTT; Drenaje / alcantarillado insuficiente; Maquinaria / recursos operativos; Alojamientos temporales por validar; Rutas y puntos seguros por validar,"Activación COE/UGR; Recursos y logística; Alojamientos temporales; Limpieza y mantenimiento preventivo; Evacuación, rutas y puntos seguros",Protocolos / procedimientos; Fortalecimiento UGR/COE; Simulacros / ejercicios; Capacitación; Actualización del plan,Reportes; Alertas / vigilancia; Indicadores,PENDIENTE,"Extracción automática detectó Desbordamiento fluvial, Inundación, Afectación vial; brechas: Coordinación COE/MTT, Drenaje / alcantarillado insuficiente, Maquinaria / recursos operativos.",
Los Ríos,Quinsaloma,1213,Los Ríos,Quinsaloma,8,1,4,0,3,PAQUETE_ENOS_ZONA5_2026_2027/Los Ríos/Quinsaloma/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan de Acción_FENÓMENO_EL NIÑO_Quinsaloma Definivo-signed-1-signed.pdf,texto_extraible,29,29,35004,Plan localizado,,Extracción inicial desde PDF/DOCX; requiere revisión técnica,,Desbordamiento fluvial; Afectación vial; Inundación; Erosión hídrica / socavación; Movimiento en masa / deslizamiento,Drenaje / alcantarillado insuficiente; Coordinación COE/MTT; Alojamientos temporales por validar; Rutas y puntos seguros por validar; Monitoreo y evidencias,"Activación COE/UGR; Evacuación, rutas y puntos seguros; Recursos y logística; Alojamientos temporales; Limpieza y mantenimiento preventivo",Protocolos / procedimientos; Fortalecimiento UGR/COE; Capacitación; Simulacros / ejercicios,Alertas / vigilancia; Reportes; Evidencias,PENDIENTE,"Extracción automática detectó Desbordamiento fluvial, Afectación vial, Inundación; brechas: Drenaje / alcantarillado insuficiente, Coordinación COE/MTT, Alojamientos temporales por validar.",
