codigo_dpa,provincia,canton,semaforo_preliminar,estado_documental,porcentaje_concordancia,amenazas,brechas,respuesta,fortalecimiento,monitoreo,archivo_plan_principal
1201,Los Ríos,Babahoyo,PENDIENTE,Plan localizado,,Desbordamiento fluvial | Afectación vial | Inundación | Erosión hídrica / socavación | Movimiento en masa / deslizamiento,Monitoreo y evidencias | Coordinación COE/MTT | Drenaje / alcantarillado insuficiente | Rutas y puntos seguros por validar | Alojamientos temporales por validar,"Activación COE/UGR | Evacuación, rutas y puntos seguros | Limpieza y mantenimiento preventivo | Alojamientos temporales | Recursos y logística",Fortalecimiento UGR/COE | Actualización del plan | Capacitación | Simulacros / ejercicios | Protocolos / procedimientos,Alertas / vigilancia | Reportes | Seguimiento mensual | Evidencias | Indicadores,PAQUETE_ENOS_ZONA5_2026_2027/Los Ríos/Babahoyo/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan de accion cantonal FENOMENO_DEL_NIÑO 2026 (1).pdf
1202,Los Ríos,Baba,PENDIENTE,Plan localizado,,Desbordamiento fluvial | Afectación vial | Inundación | Erosión hídrica / socavación | Déficit hídrico / sequía,Coordinación COE/MTT | Drenaje / alcantarillado insuficiente | Monitoreo y evidencias | Alojamientos temporales por validar | Rutas y puntos seguros por validar,"Activación COE/UGR | Limpieza y mantenimiento preventivo | Evacuación, rutas y puntos seguros | Recursos y logística | Alojamientos temporales",Fortalecimiento UGR/COE | Actualización del plan | Capacitación | Simulacros / ejercicios,Reportes | Alertas / vigilancia | Evidencias | Seguimiento mensual | Indicadores,PAQUETE_ENOS_ZONA5_2026_2027/Los Ríos/Baba/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan de acción territorial ante el evento del niño 2026-signed.pdf
1203,Los Ríos,Montalvo,VERDE,Plan localizado,83,Desbordamiento fluvial | Afectación vial | Erosión hídrica / socavación | Inundación | Movimiento en masa / deslizamiento,Coordinación COE/MTT | Maquinaria / recursos operativos | Monitoreo y evidencias | Drenaje / alcantarillado insuficiente | Alojamientos temporales por validar,"Limpieza y mantenimiento preventivo | Activación COE/UGR | Recursos y logística | Alojamientos temporales | Evacuación, rutas y puntos seguros",Fortalecimiento UGR/COE | Actualización del plan | Capacitación | Protocolos / procedimientos,Evidencias | Reportes | Alertas / vigilancia | Seguimiento mensual | Indicadores,PAQUETE_ENOS_ZONA5_2026_2027/Los Ríos/Montalvo/01_PLAN_COMPARTIDO_O_REFERENCIAS/plan enos 2026 FIRMADO-signed-signed.pdf
1204,Los Ríos,Puebloviejo,VERDE,Plan localizado,78,Desbordamiento fluvial | Inundación | Afectación vial | Erosión hídrica / socavación,Coordinación COE/MTT | Monitoreo y evidencias | Maquinaria / recursos operativos | Drenaje / alcantarillado insuficiente | Alojamientos temporales por validar,"Activación COE/UGR | Recursos y logística | Limpieza y mantenimiento preventivo | Alojamientos temporales | Evacuación, rutas y puntos seguros",Fortalecimiento UGR/COE | Actualización del plan | Capacitación | Simulacros / ejercicios,Reportes | Seguimiento mensual | Alertas / vigilancia | Evidencias | Indicadores,PAQUETE_ENOS_ZONA5_2026_2027/Los Ríos/Puebloviejo/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan de Acción Cantonal Ante El Niño 2026–2027 FINAL-1.pdf
1205,Los Ríos,Quevedo,PENDIENTE,Plan localizado,,Desbordamiento fluvial | Afectación vial | Inundación | Movimiento en masa / deslizamiento | Erosión hídrica / socavación,Coordinación COE/MTT | Maquinaria / recursos operativos | Monitoreo y evidencias | Drenaje / alcantarillado insuficiente | Alojamientos temporales por validar,"Recursos y logística | Activación COE/UGR | Evacuación, rutas y puntos seguros | Alojamientos temporales | Limpieza y mantenimiento preventivo",Fortalecimiento UGR/COE | Actualización del plan | Simulacros / ejercicios | Protocolos / procedimientos | Capacitación,Reportes | Alertas / vigilancia | Indicadores | Seguimiento mensual,PAQUETE_ENOS_ZONA5_2026_2027/Los Ríos/Quevedo/01_PLAN_COMPARTIDO_O_REFERENCIAS/ENOS 2027 QUEVEDO FINAL.pdf
1206,Los Ríos,Urdaneta,AMARILLO,Registros F01/F04 localizados; sin plan final localizado,60,Desbordamiento fluvial | Afectación vial | Inundación | Erosión hídrica / socavación | Movimiento en masa / deslizamiento,Coordinación COE/MTT | Monitoreo y evidencias | Maquinaria / recursos operativos | Rutas y puntos seguros por validar | Drenaje / alcantarillado insuficiente,"Activación COE/UGR | Recursos y logística | Evacuación, rutas y puntos seguros | Alojamientos temporales | Limpieza y mantenimiento preventivo",Fortalecimiento UGR/COE | Actualización del plan | Protocolos / procedimientos,Reportes | Alertas / vigilancia | Seguimiento mensual | Evidencias | Indicadores,PAQUETE_ENOS_ZONA5_2026_2027/Los Ríos/Urdaneta/01_PLAN_COMPARTIDO_O_REFERENCIAS/PLAN DE ACCIÓN TERRITORIAL ANTE EL EVENTO EL NIÑO 2026.-signed-signed-signed.pdf
1207,Los Ríos,Ventanas,PENDIENTE,Plan localizado,,Desbordamiento fluvial | Inundación | Afectación vial,Monitoreo y evidencias | Maquinaria / recursos operativos | Coordinación COE/MTT | Drenaje / alcantarillado insuficiente | Alojamientos temporales por validar,Activación COE/UGR | Recursos y logística | Limpieza y mantenimiento preventivo | Alojamientos temporales,Fortalecimiento UGR/COE | Actualización del plan,Alertas / vigilancia | Evidencias,PAQUETE_ENOS_ZONA5_2026_2027/Los Ríos/Ventanas/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan_ENOS_Cantón_Ventanas-signed-signed.pdf
1208,Los Ríos,Vinces,PENDIENTE,Plan localizado,,Desbordamiento fluvial | Afectación vial | Inundación,Coordinación COE/MTT | Monitoreo y evidencias | Maquinaria / recursos operativos | Alojamientos temporales por validar | Drenaje / alcantarillado insuficiente,"Activación COE/UGR | Alojamientos temporales | Recursos y logística | Evacuación, rutas y puntos seguros | Limpieza y mantenimiento preventivo",Fortalecimiento UGR/COE | Protocolos / procedimientos,Reportes | Alertas / vigilancia | Evidencias | Seguimiento mensual,PAQUETE_ENOS_ZONA5_2026_2027/Los Ríos/Vinces/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan de Acción ante el evento El Niño 2026 - 2027.pdf
1209,Los Ríos,Palenque,VERDE,Plan localizado,76,Desbordamiento fluvial | Inundación | Afectación vial,Coordinación COE/MTT | Monitoreo y evidencias | Maquinaria / recursos operativos | Alojamientos temporales por validar | Drenaje / alcantarillado insuficiente,"Activación COE/UGR | Recursos y logística | Alojamientos temporales | Limpieza y mantenimiento preventivo | Evacuación, rutas y puntos seguros",Fortalecimiento UGR/COE | Capacitación | Simulacros / ejercicios | Protocolos / procedimientos | Actualización del plan,Reportes | Evidencias | Alertas / vigilancia | Seguimiento mensual | Indicadores,PAQUETE_ENOS_ZONA5_2026_2027/Los Ríos/Palenque/01_PLAN_COMPARTIDO_O_REFERENCIAS/PLAN_DE_ACCION_TERRITORIAL_DEL_GADM_PALENQUE_EL_NINO_20262027_signed-signed-signed-1.pdf
1210,Los Ríos,Buena Fe,AMARILLO,Plan y revisión localizados,62,Desbordamiento fluvial | Afectación vial | Inundación | Movimiento en masa / deslizamiento | Erosión hídrica / socavación,Coordinación COE/MTT | Monitoreo y evidencias | Maquinaria / recursos operativos | Drenaje / alcantarillado insuficiente | Alojamientos temporales por validar,"Activación COE/UGR | Recursos y logística | Alojamientos temporales | Limpieza y mantenimiento preventivo | Evacuación, rutas y puntos seguros",Fortalecimiento UGR/COE | Protocolos / procedimientos | Capacitación | Simulacros / ejercicios | Actualización del plan,Alertas / vigilancia | Reportes | Seguimiento mensual | Evidencias | Indicadores,PAQUETE_ENOS_ZONA5_2026_2027/Los Ríos/Buena Fe/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan Acciones FENOMENO DEL NIÑO 2026-2027 Cantón Buena Fe-signed-signed-signed-signed-signed.pdf
1211,Los Ríos,Valencia,PENDIENTE,Plan localizado,,Desbordamiento fluvial | Afectación vial | Inundación | Erosión hídrica / socavación | Movimiento en masa / deslizamiento,Drenaje / alcantarillado insuficiente | Monitoreo y evidencias | Maquinaria / recursos operativos | Coordinación COE/MTT | Alojamientos temporales por validar,"Limpieza y mantenimiento preventivo | Activación COE/UGR | Recursos y logística | Alojamientos temporales | Evacuación, rutas y puntos seguros",Fortalecimiento UGR/COE | Capacitación | Actualización del plan | Simulacros / ejercicios,Alertas / vigilancia | Reportes | Evidencias | Indicadores,PAQUETE_ENOS_ZONA5_2026_2027/Los Ríos/Valencia/01_PLAN_COMPARTIDO_O_REFERENCIAS/INFORME TÉCNICO APROBADO (1)-signed-signed.pdf
1212,Los Ríos,Mocache,PENDIENTE,Plan localizado,,Desbordamiento fluvial | Inundación | Afectación vial | Movimiento en masa / deslizamiento | Erosión hídrica / socavación,Coordinación COE/MTT | Drenaje / alcantarillado insuficiente | Maquinaria / recursos operativos | Alojamientos temporales por validar | Rutas y puntos seguros por validar,"Activación COE/UGR | Recursos y logística | Alojamientos temporales | Limpieza y mantenimiento preventivo | Evacuación, rutas y puntos seguros",Protocolos / procedimientos | Fortalecimiento UGR/COE | Simulacros / ejercicios | Capacitación | Actualización del plan,Reportes | Alertas / vigilancia | Indicadores,PAQUETE_ENOS_ZONA5_2026_2027/Los Ríos/Mocache/01_PLAN_COMPARTIDO_O_REFERENCIAS/PLAN DE ACCION Y CONTINGENCIA ENOS - MOCACHE-2026-signed-signed (1).pdf
1213,Los Ríos,Quinsaloma,PENDIENTE,Plan localizado,,Desbordamiento fluvial | Afectación vial | Inundación | Erosión hídrica / socavación | Movimiento en masa / deslizamiento,Drenaje / alcantarillado insuficiente | Coordinación COE/MTT | Alojamientos temporales por validar | Rutas y puntos seguros por validar | Monitoreo y evidencias,"Activación COE/UGR | Evacuación, rutas y puntos seguros | Recursos y logística | Alojamientos temporales | Limpieza y mantenimiento preventivo",Protocolos / procedimientos | Fortalecimiento UGR/COE | Capacitación | Simulacros / ejercicios,Alertas / vigilancia | Reportes | Evidencias,PAQUETE_ENOS_ZONA5_2026_2027/Los Ríos/Quinsaloma/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan de Acción_FENÓMENO_EL NIÑO_Quinsaloma Definivo-signed-1-signed.pdf
2401,Santa Elena,Santa Elena,ROJO,Registro F01 localizado; sin plan final localizado,45,Desbordamiento fluvial | Afectación vial | Inundación | Movimiento en masa / deslizamiento | Erosión hídrica / socavación,Coordinación COE/MTT | Monitoreo y evidencias | Drenaje / alcantarillado insuficiente | Maquinaria / recursos operativos | Rutas y puntos seguros por validar,"Activación COE/UGR | Recursos y logística | Limpieza y mantenimiento preventivo | Evacuación, rutas y puntos seguros | Alojamientos temporales",Fortalecimiento UGR/COE | Actualización del plan | Capacitación | Simulacros / ejercicios | Protocolos / procedimientos,Reportes | Alertas / vigilancia | Seguimiento mensual | Evidencias | Indicadores,PAQUETE_ENOS_ZONA5_2026_2027/Santa Elena/Santa Elena/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan de acción Enos2026_SE.v1-signed-signed-signed-1.pdf
2402,Santa Elena,La Libertad,PENDIENTE,Plan localizado,,Desbordamiento fluvial | Inundación | Afectación vial | Erosión hídrica / socavación | Marejada / zona costera,Monitoreo y evidencias | Coordinación COE/MTT | Maquinaria / recursos operativos | Drenaje / alcantarillado insuficiente | Rutas y puntos seguros por validar,"Recursos y logística | Activación COE/UGR | Evacuación, rutas y puntos seguros | Limpieza y mantenimiento preventivo | Alojamientos temporales",Fortalecimiento UGR/COE | Protocolos / procedimientos | Actualización del plan | Capacitación | Simulacros / ejercicios,Alertas / vigilancia | Reportes | Seguimiento mensual | Indicadores | Evidencias,PAQUETE_ENOS_ZONA5_2026_2027/Santa Elena/La Libertad/01_PLAN_COMPARTIDO_O_REFERENCIAS/Estructura_del_plan_de_accion_cantonal_LA LIBERTAD_fenomeno_del_niÑo-1.pdf
2403,Santa Elena,Salinas,AMARILLO,Registros F01-F02-F05 localizados; sin plan final localizado,63,Desbordamiento fluvial | Inundación | Afectación vial | Marejada / zona costera | Erosión hídrica / socavación,Coordinación COE/MTT | Monitoreo y evidencias | Maquinaria / recursos operativos | Alojamientos temporales por validar | Drenaje / alcantarillado insuficiente,"Activación COE/UGR | Recursos y logística | Alojamientos temporales | Limpieza y mantenimiento preventivo | Evacuación, rutas y puntos seguros",Fortalecimiento UGR/COE | Actualización del plan | Capacitación | Simulacros / ejercicios,Seguimiento mensual | Reportes | Evidencias | Alertas / vigilancia | Indicadores,PAQUETE_ENOS_ZONA5_2026_2027/Santa Elena/Salinas/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan de Acción Territorial El Niño 2026-2027.docx
